Week,Team,Tested by QA,Total PRs,Manual PR %
2026-W10,Accelerator Platform 1,8,16,50.00
2026-W10,Accelerator Platform 2,10,22,45.45
2026-W11,DC1,8,32,25.00
2026-W11,DC2,8,25,32.00
2026-W11,DC3,1,24,4.17
2026-W11,AI1,9,30,30.00
2026-W11,AI2,7,18,38.89
2026-W11,AI3,15,37,40.54
2026-W11,AI4,0,33,0.00
2026-W11,AI5,8,30,26.67
2026-W11,AI6,2,10,20.00
2026-W11,Process 1,1,25,4.00
2026-W11,Process 2,1,39,2.56
2026-W11,Process 3,3,19,15.79
2026-W11,Enterprise Architecture,6,29,20.69
2026-W11,Intelligent Feature Adoption,10,20,50.00
2026-W11,License Request/Grants,6,24,25.00
2026-W11,New Enterprise User,2,40,5.00
2026-W11,Growth,1,10,10.00
2026-W11,Planning 1,5,36,13.89
2026-W11,Planning 2,3,31,9.68
2026-W11,Cloud 1,8,21,38.10
2026-W11,Cloud 2,4,18,22.22
2026-W11,Intelligent Interface 1,4,16,25.00
2026-W11,Intelligent Interface 2,11,32,34.38
2026-W11,Intelligent Interface 3,12,26,46.15
2026-W11,Intelligent Interface 4,3,12,25.00
2026-W11,UFO,0,16,0.00
2026-W11,Papercuts,4,19,21.05
2026-W11,Core Support,1,11,9.09
2026-W11,Change Management,18,39,46.15
2026-W11,Templates,11,31,35.48
2026-W11,Accelerator Platform 1,4,24,16.67
2026-W11,Accelerator Platform 2,0,11,0.00
2026-W12,DC1,0,29,0.00
2026-W12,DC2,1,10,10.00
2026-W12,DC3,2,35,5.71
2026-W12,AI1,12,36,33.33
2026-W12,AI2,3,20,15.00
2026-W12,AI3,4,10,40.00
2026-W12,AI4,6,17,35.29
2026-W12,AI5,7,29,24.14
2026-W12,AI6,8,17,47.06
2026-W12,Process 1,7,17,41.18
2026-W12,Process 2,4,13,30.77
2026-W12,Process 3,15,30,50.00
2026-W12,Enterprise Architecture,17,40,42.50
2026-W12,Intelligent Feature Adoption,19,39,48.72
2026-W12,License Request/Grants,15,30,50.00
2026-W12,New Enterprise User,15,36,41.67
2026-W12,Growth,9,18,50.00
2026-W12,Planning 1,3,25,12.00
2026-W12,Planning 2,16,35,45.71
2026-W12,Cloud 1,6,16,37.50
2026-W12,Cloud 2,5,31,16.13
2026-W12,Intelligent Interface 1,7,38,18.42
2026-W12,Intelligent Interface 2,1,33,3.03
2026-W12,Intelligent Interface 3,1,31,3.23
2026-W12,Intelligent Interface 4,8,17,47.06
2026-W12,UFO,5,15,33.33
2026-W12,Papercuts,1,23,4.35
2026-W12,Core Support,2,23,8.70
2026-W12,Change Management,7,28,25.00
2026-W12,Templates,1,12,8.33
2026-W12,Accelerator Platform 1,2,29,6.90
2026-W12,Accelerator Platform 2,11,32,34.38
2026-W13,DC1,2,13,15.38
2026-W13,DC2,7,38,18.42
2026-W13,DC3,4,12,33.33
2026-W13,AI1,2,17,11.76
2026-W13,AI2,15,36,41.67
2026-W13,AI3,6,35,17.14
2026-W13,AI4,11,29,37.93
2026-W13,AI5,3,23,13.04
2026-W13,AI6,15,39,38.46
2026-W13,Process 1,9,34,26.47
2026-W13,Process 2,9,37,24.32
2026-W13,Process 3,9,31,29.03
2026-W13,Enterprise Architecture,3,13,23.08
2026-W13,Intelligent Feature Adoption,4,22,18.18
2026-W13,License Request/Grants,13,26,50.00
2026-W13,New Enterprise User,13,35,37.14
2026-W13,Growth,10,23,43.48
2026-W13,Planning 1,10,25,40.00
2026-W13,Planning 2,9,19,47.37
2026-W13,Cloud 1,12,24,50.00
2026-W13,Cloud 2,6,19,31.58
2026-W13,Intelligent Interface 1,7,17,41.18
2026-W13,Intelligent Interface 2,6,22,27.27
2026-W13,Intelligent Interface 3,14,29,48.28
2026-W13,Intelligent Interface 4,17,35,48.57
2026-W13,UFO,4,16,25.00
2026-W13,Papercuts,0,32,0.00
2026-W13,Core Support,15,31,48.39
2026-W13,Change Management,10,20,50.00
2026-W13,Templates,3,15,20.00
2026-W13,Accelerator Platform 1,2,16,12.50
2026-W13,Accelerator Platform 2,15,38,39.47
2026-W14,DC1,3,30,10.00
2026-W14,DC2,4,22,18.18
2026-W14,DC3,11,24,45.83
2026-W14,AI1,9,18,50.00
2026-W14,AI2,4,17,23.53
2026-W14,AI3,2,18,11.11
2026-W14,AI4,4,23,17.39
2026-W14,AI5,2,10,20.00
2026-W14,AI6,0,25,0.00
2026-W14,Process 1,3,18,16.67
2026-W14,Process 2,18,38,47.37
2026-W14,Process 3,0,27,0.00
2026-W14,Enterprise Architecture,4,37,10.81
2026-W14,Intelligent Feature Adoption,12,27,44.44
2026-W14,License Request/Grants,1,16,6.25
2026-W14,New Enterprise User,3,10,30.00
2026-W14,Growth,14,38,36.84
2026-W14,Planning 1,0,27,0.00
2026-W14,Planning 2,2,19,10.53
2026-W14,Cloud 1,13,28,46.43
2026-W14,Cloud 2,5,28,17.86
2026-W14,Intelligent Interface 1,4,12,33.33
2026-W14,Intelligent Interface 2,6,16,37.50
2026-W14,Intelligent Interface 3,1,25,4.00
2026-W14,Intelligent Interface 4,5,11,45.45
2026-W14,UFO,6,38,15.79
2026-W14,Papercuts,2,34,5.88
2026-W14,Core Support,3,21,14.29
2026-W14,Change Management,0,20,0.00
2026-W14,Templates,19,38,50.00
2026-W14,Accelerator Platform 1,14,30,46.67
2026-W14,Accelerator Platform 2,1,22,4.55
2026-W15,DC1,9,31,29.03
2026-W15,DC2,2,32,6.25
2026-W15,DC3,5,40,12.50
2026-W15,AI1,2,20,10.00
2026-W15,AI2,12,37,32.43
2026-W15,AI3,7,25,28.00
2026-W15,AI4,8,22,36.36
2026-W15,AI5,2,35,5.71
2026-W15,AI6,5,17,29.41
2026-W15,Process 1,7,30,23.33
2026-W15,Process 2,0,13,0.00
2026-W15,Process 3,2,21,9.52
2026-W15,Enterprise Architecture,9,34,26.47
2026-W15,Intelligent Feature Adoption,8,27,29.63
2026-W15,License Request/Grants,4,11,36.36
2026-W15,New Enterprise User,1,18,5.56
2026-W15,Growth,11,29,37.93
2026-W15,Planning 1,5,21,23.81
2026-W15,Planning 2,4,33,12.12
2026-W15,Cloud 1,8,38,21.05
2026-W15,Cloud 2,11,23,47.83
2026-W15,Intelligent Interface 1,4,21,19.05
2026-W15,Intelligent Interface 2,3,13,23.08
2026-W15,Intelligent Interface 3,5,23,21.74
2026-W15,Intelligent Interface 4,2,13,15.38
2026-W15,UFO,4,15,26.67
2026-W15,Papercuts,2,19,10.53
2026-W15,Core Support,6,36,16.67
2026-W15,Change Management,6,19,31.58
2026-W15,Templates,5,21,23.81
2026-W15,Accelerator Platform 1,3,32,9.38
2026-W15,Accelerator Platform 2,10,31,32.26
2026-W16,DC1,13,36,36.11
2026-W16,DC2,3,10,30.00
2026-W16,DC3,6,39,15.38
2026-W16,AI1,2,16,12.50
2026-W16,AI2,2,18,11.11
2026-W16,AI3,6,19,31.58
2026-W16,AI4,0,26,0.00
2026-W16,AI5,3,18,16.67
2026-W16,AI6,18,40,45.00
2026-W16,Process 1,4,19,21.05
2026-W16,Process 2,1,27,3.70
2026-W16,Process 3,17,37,45.95
2026-W16,Enterprise Architecture,1,32,3.13
2026-W16,Intelligent Feature Adoption,1,40,2.50
2026-W16,License Request/Grants,11,29,37.93
2026-W16,New Enterprise User,4,15,26.67
2026-W16,Growth,15,31,48.39
2026-W16,Planning 1,4,19,21.05
2026-W16,Planning 2,2,22,9.09
2026-W16,Cloud 1,15,38,39.47
2026-W16,Cloud 2,2,16,12.50
2026-W16,Intelligent Interface 1,19,40,47.50
2026-W16,Intelligent Interface 2,8,31,25.81
2026-W16,Intelligent Interface 3,0,20,0.00
2026-W16,Intelligent Interface 4,8,31,25.81
2026-W16,UFO,0,38,0.00
2026-W16,Papercuts,6,13,46.15
2026-W16,Core Support,3,28,10.71
2026-W16,Change Management,0,17,0.00
2026-W16,Templates,5,35,14.29
2026-W16,Accelerator Platform 1,17,34,50.00
2026-W16,Accelerator Platform 2,16,34,47.06
2026-W17,DC1,5,40,12.50
2026-W17,DC2,2,12,16.67
2026-W17,DC3,8,19,42.11
2026-W17,AI1,9,33,27.27
2026-W17,AI2,3,12,25.00
2026-W17,AI3,16,39,41.03
2026-W17,AI4,0,21,0.00
2026-W17,AI5,3,38,7.89
2026-W17,AI6,6,29,20.69
2026-W17,Process 1,3,19,15.79
2026-W17,Process 2,1,17,5.88
2026-W17,Process 3,3,22,13.64
2026-W17,Enterprise Architecture,1,18,5.56
2026-W17,Intelligent Feature Adoption,12,26,46.15
2026-W17,License Request/Grants,2,15,13.33
2026-W17,New Enterprise User,5,24,20.83
2026-W17,Growth,6,34,17.65
2026-W17,Planning 1,5,15,33.33
2026-W17,Planning 2,8,19,42.11
2026-W17,Cloud 1,1,15,6.67
2026-W17,Cloud 2,4,18,22.22
2026-W17,Intelligent Interface 1,15,32,46.88
2026-W17,Intelligent Interface 2,7,28,25.00
2026-W17,Intelligent Interface 3,0,13,0.00
2026-W17,Intelligent Interface 4,4,36,11.11
2026-W17,UFO,9,34,26.47
2026-W17,Papercuts,15,37,40.54
2026-W17,Core Support,5,13,38.46
2026-W17,Change Management,5,11,45.45
2026-W17,Templates,12,39,30.77
2026-W17,Accelerator Platform 1,0,17,0.00
2026-W17,Accelerator Platform 2,15,32,46.88
2026-W18,DC1,35,35,100.00
2026-W18,DC2,31,31,100.00
2026-W18,DC3,13,39,33.33
2026-W18,AI1,15,38,39.47
2026-W18,AI2,10,36,27.78
2026-W18,AI3,14,34,41.18
2026-W18,AI4,1,15,6.67
2026-W18,AI5,5,34,14.71
2026-W18,AI6,6,40,15.00
2026-W18,Process 1,2,28,7.14
2026-W18,Process 2,0,23,0.00
2026-W18,Process 3,5,15,33.33
2026-W18,Enterprise Architecture,13,36,36.11
2026-W18,Intelligent Feature Adoption,11,27,40.74
2026-W18,License Request/Grants,7,14,50.00
2026-W18,New Enterprise User,3,12,25.00
2026-W18,Growth,4,31,12.90
2026-W18,Planning 1,16,34,47.06
2026-W18,Planning 2,6,14,42.86
2026-W18,Cloud 1,2,16,12.50
2026-W18,Cloud 2,5,25,20.00
2026-W18,Intelligent Interface 1,7,36,19.44
2026-W18,Intelligent Interface 2,9,38,23.68
2026-W18,Intelligent Interface 3,6,29,20.69
2026-W18,Intelligent Interface 4,0,10,0.00
2026-W18,UFO,7,18,38.89
2026-W18,Papercuts,17,34,50.00
2026-W18,Core Support,0,17,0.00
2026-W18,Change Management,10,20,50.00
2026-W18,Templates,3,13,23.08
2026-W18,Accelerator Platform 1,9,38,23.68
2026-W18,Accelerator Platform 2,9,28,32.14
2026-W19,DC1,22,22,100.00
2026-W19,DC2,28,28,100.00
2026-W19,DC3,3,18,16.67
2026-W19,AI1,12,40,30.00
2026-W19,AI2,0,11,0.00
2026-W19,AI3,8,34,23.53
2026-W19,AI4,1,40,2.50
2026-W19,AI5,6,35,17.14
2026-W19,AI6,1,32,3.13
2026-W19,Process 1,6,14,42.86
2026-W19,Process 2,4,19,21.05
2026-W19,Process 3,3,40,7.50
2026-W19,Enterprise Architecture,2,23,8.70
2026-W19,Intelligent Feature Adoption,1,14,7.14
2026-W19,License Request/Grants,2,20,10.00
2026-W19,New Enterprise User,0,30,0.00
2026-W19,Growth,5,10,50.00
2026-W19,Planning 1,2,23,8.70
2026-W19,Planning 2,3,19,15.79
2026-W19,Cloud 1,0,31,0.00
2026-W19,Cloud 2,0,10,0.00
2026-W19,Intelligent Interface 1,3,17,17.65
2026-W19,Intelligent Interface 2,0,22,0.00
2026-W19,Intelligent Interface 3,1,18,5.56
2026-W19,Intelligent Interface 4,9,33,27.27
2026-W19,UFO,17,35,48.57
2026-W19,Papercuts,11,34,32.35
2026-W19,Core Support,10,25,40.00
2026-W19,Change Management,13,31,41.94
2026-W19,Templates,4,16,25.00
2026-W19,Accelerator Platform 1,9,27,33.33
2026-W19,Accelerator Platform 2,3,13,23.08
